n,ijk,jik,jki,kji,kij,ikj
16,0.683594,0.878906,1.953125,2.050781,0.659180,0.610352
32,0.634766,0.778198,3.222656,3.204346,0.476074,0.497437
48,0.575991,0.646521,1.883500,1.806641,0.305628,0.306532
64,0.458908,0.503159,1.694107,2.303314,0.328445,0.336838
80,0.472461,0.585547,1.396289,2.149414,0.343555,0.345117
96,0.479239,0.505348,1.433874,1.694630,0.352195,0.348013
112,0.522945,0.505578,2.109147,2.213210,0.305140,0.344644
128,0.519180,0.531006,2.181673,2.151442,0.301886,0.316620
144,0.484530,0.504758,2.177105,2.269570,0.329037,0.324516
160,0.483350,0.507227,2.252344,2.193994,0.305713,0.316553
176,0.487364,0.504606,2.184371,2.170650,0.286549,0.293464
192,0.508527,0.502339,2.190004,2.166875,0.283898,0.296105
208,0.511195,0.514373,2.346695,2.371142,0.332040,0.315460
224,0.519840,0.548364,2.387489,2.368449,0.306306,0.341512
240,0.577669,0.575477,2.499978,2.458767,0.306026,0.308261
256,0.537515,0.593287,2.490383,2.479160,0.314283,0.313997
